asset_id,product_id,quantity,reorder_level,warehouse_location,updated_at
AST-0009,PROD-0001,936,229,Delhi,2026-08-28 18:19:38.701927
AST-0005,PROD-0002,969,163,Mumbai,2026-08-28 18:19:38.701936
AST-0008,PROD-0003,642,148,Mumbai,2026-08-28 18:19:38.701940
AST-0019,PROD-0004,787,119,Kolkata,2026-08-28 18:19:38.701944
AST-0006,PROD-0005,102,133,Chennai,2026-08-28 18:19:38.701948
AST-0003,PROD-0006,48,130,Pune,2026-08-28 18:19:38.701951
AST-0015,PROD-0007,989,231,Chennai,2026-08-28 18:19:38.701954
AST-0008,PROD-0008,713,188,Delhi,2026-08-28 18:19:38.701958
AST-0018,PROD-0009,425,290,Pune,2026-08-28 18:19:38.701962
AST-0002,PROD-0010,685,118,Mumbai,2026-08-28 18:19:38.701968
AST-0002,PROD-0011,883,224,Hyderabad,2026-08-28 18:19:38.701972
AST-0002,PROD-0012,817,261,Bangalore,2026-08-28 18:19:38.701975
AST-0020,PROD-0013,154,190,Chennai,2026-08-28 18:19:38.701979
AST-0019,PROD-0014,994,258,Pune,2026-08-28 18:19:38.701982
AST-0009,PROD-0015,711,190,Bangalore,2026-08-28 18:19:38.701985
AST-0020,PROD-0016,325,288,Kolkata,2026-08-28 18:19:38.701988
AST-0004,PROD-0017,505,126,Bangalore,2026-08-28 18:19:38.701991
AST-0006,PROD-0018,145,226,Mumbai,2026-08-28 18:19:38.701995
AST-0009,PROD-0019,255,156,Pune,2026-08-28 18:19:38.701998
AST-0015,PROD-0020,186,141,Chennai,2026-08-28 18:19:38.702002
AST-0012,PROD-0021,877,174,Bangalore,2026-08-28 18:19:38.702006
AST-0005,PROD-0022,115,196,Bangalore,2026-08-28 18:19:38.702009
AST-0013,PROD-0023,695,182,Delhi,2026-08-28 18:19:38.702012
AST-0009,PROD-0024,605,265,Mumbai,2026-08-28 18:19:38.702015
AST-0007,PROD-0025,930,149,Delhi,2026-08-28 18:19:38.702018
AST-0001,PROD-0026,708,238,Kolkata,2026-08-28 18:19:38.702022
AST-0007,PROD-0027,207,174,Hyderabad,2026-08-28 18:19:38.702025
AST-0010,PROD-0028,453,104,Hyderabad,2026-08-28 18:19:38.702029
AST-0017,PROD-0029,860,232,Mumbai,2026-08-28 18:19:38.702033
AST-0017,PROD-0030,613,248,Hyderabad,2026-08-28 18:19:38.702036
AST-0001,PROD-0031,277,218,Chennai,2026-08-28 18:19:38.702039
AST-0006,PROD-0032,10,195,Pune,2026-08-28 18:19:38.702043
