asset_id,recorded_at,temperature,vibration,pressure,humidity,fuel_level,quarantine_reason
AST-0008,2026-08-08 18:51:38.403936,,1.51,98.66,70.22,70.35,missing_temperature
AST-0017,2026-08-08 00:41:38.403936,,3.43,102.88,71.24,76.31,missing_temperature
AST-0017,2026-08-19 12:53:38.403936,,1.17,101.17,52.89,53.27,missing_temperature
AST-0013,2026-08-06 11:59:38.403936,,3.6,101.0,66.26,61.88,missing_temperature
AST-0019,2026-08-26 18:04:38.403936,,1.7,100.29,73.41,74.84,missing_temperature
AST-0006,2026-08-18 18:37:38.403936,,2.34,101.0,63.05,85.41,missing_temperature
AST-0014,2026-08-09 00:48:38.403936,,1.68,101.25,63.26,69.06,missing_temperature
AST-0013,2026-08-07 13:18:38.403936,,4.86,103.79,51.49,41.2,missing_temperature
AST-0013,2026-08-16 11:22:38.403936,,2.57,95.32,63.13,35.65,missing_temperature
AST-0013,2026-08-24 05:49:38.403936,,1.56,104.63,80.23,78.24,missing_temperature
AST-0013,2026-08-03 08:03:38.403936,,2.34,105.44,46.68,46.08,missing_temperature
AST-0005,2026-08-01 11:22:38.403936,,1.62,102.0,65.87,71.4,missing_temperature
AST-0020,2026-08-24 18:14:38.403936,,2.71,103.87,40.74,22.04,missing_temperature
AST-0018,2026-08-15 20:07:38.403936,,1.56,104.94,59.34,79.97,missing_temperature
AST-0016,2026-08-23 17:01:38.403936,,2.07,102.07,73.38,52.77,missing_temperature
AST-0018,2026-07-31 10:21:38.403936,,1.32,98.77,57.24,66.42,missing_temperature
AST-0008,2026-08-21 14:27:38.403936,,3.59,100.69,60.11,93.6,missing_temperature
AST-0014,2026-08-20 05:13:38.403936,,1.55,103.15,64.09,61.8,missing_temperature
AST-0017,2026-08-11 18:42:38.403936,,1.98,95.82,76.86,92.73,missing_temperature
AST-0009,2026-08-28 01:00:38.403936,,2.66,99.75,57.0,56.02,missing_temperature
AST-0010,2026-08-19 00:39:38.403936,,2.1,100.96,72.15,88.0,missing_temperature
AST-0014,2026-08-13 01:11:38.403936,,2.65,101.86,68.2,62.51,missing_temperature
AST-0012,2026-08-11 09:40:38.403936,,2.23,103.58,76.57,61.91,missing_temperature
AST-0013,2026-08-09 12:37:38.403936,,1.94,102.07,76.21,62.6,missing_temperature
AST-0007,2026-08-20 12:41:38.403936,,1.31,101.47,77.47,67.44,missing_temperature
AST-0010,2026-08-04 08:44:38.403936,,2.78,100.63,69.96,91.69,missing_temperature
AST-0012,2026-08-13 01:55:38.403936,,3.16,97.34,60.87,82.09,missing_temperature
AST-0019,2026-08-21 14:49:38.403936,,2.24,99.84,72.68,48.43,missing_temperature
AST-0004,2026-08-27 15:08:38.403936,,3.75,101.2,52.54,44.44,missing_temperature
AST-0002,2026-08-13 05:25:38.403936,,2.0,103.19,64.91,85.41,missing_temperature
AST-0013,2026-08-15 02:53:38.403936,,2.31,102.84,63.05,65.61,missing_temperature
AST-0019,2026-08-26 15:11:38.403936,,2.95,103.44,54.18,37.96,missing_temperature
AST-0014,2026-08-16 23:05:38.403936,,2.33,100.79,71.1,59.07,missing_temperature
AST-0014,2026-08-04 12:00:38.403936,,2.79,98.65,63.26,51.94,missing_temperature
AST-0017,2026-08-05 22:49:38.403936,,1.71,100.09,73.87,65.63,missing_temperature
AST-0002,2026-08-13 01:47:38.403936,,3.37,101.97,70.18,60.38,missing_temperature
AST-0011,2026-08-20 17:23:38.403936,,3.43,101.01,64.18,77.37,missing_temperature
AST-0004,2026-08-08 01:47:38.403936,,2.45,99.48,85.96,56.38,missing_temperature
AST-0007,2026-08-04 05:28:38.403936,,1.87,102.87,53.51,83.57,missing_temperature
AST-0010,2026-08-26 06:28:38.403936,,3.27,98.73,73.11,54.76,missing_temperature
AST-0010,2026-08-22 22:16:38.403936,,1.17,104.29,62.06,46.01,missing_temperature
AST-0015,2026-08-03 09:55:38.403936,,1.46,99.5,76.04,75.09,missing_temperature
AST-0010,2026-08-10 01:25:38.403936,,2.14,100.74,69.23,29.58,missing_temperature
AST-0003,2026-07-29 21:15:38.403936,,1.21,102.07,64.45,62.18,missing_temperature
AST-0012,2026-08-16 11:44:38.403936,,2.7,100.47,62.24,73.26,missing_temperature
AST-0011,2026-08-10 13:54:38.403936,,3.71,99.77,66.39,70.92,missing_temperature
AST-0018,2026-08-04 04:39:38.403936,,7.25,102.16,70.02,46.81,missing_temperature
AST-0007,2026-08-21 06:18:38.403936,,1.85,102.71,47.4,63.55,missing_temperature
AST-0010,2026-07-30 12:45:38.403936,,2.8,101.59,69.3,57.06,missing_temperature
AST-0003,2026-08-01 01:03:38.403936,,2.39,99.59,76.08,75.91,missing_temperature
AST-0009,2026-08-28 01:00:38.403936,,2.66,99.75,57.0,56.02,missing_temperature|duplicate_record
AST-0002,2026-08-13 05:25:38.403936,,2.0,103.19,64.91,85.41,missing_temperature|duplicate_record
AST-0013,2026-08-15 02:53:38.403936,,2.31,102.84,63.05,65.61,missing_temperature|duplicate_record
AST-0018,2026-07-31 10:21:38.403936,,1.32,98.77,57.24,66.42,missing_temperature|duplicate_record
AST-0013,2026-08-03 08:03:38.403936,,2.34,105.44,46.68,46.08,missing_temperature|duplicate_record
AST-0017,2026-08-19 12:53:38.403936,,1.17,101.17,52.89,53.27,missing_temperature|duplicate_record
AST-0013,2026-08-16 11:22:38.403936,,2.57,95.32,63.13,35.65,missing_temperature|duplicate_record
AST-0019,2026-08-21 14:49:38.403936,,2.24,99.84,72.68,48.43,missing_temperature|duplicate_record
AST-0010,2026-08-04 08:44:38.403936,,2.78,100.63,69.96,91.69,missing_temperature|duplicate_record
AST-0010,2026-08-19 00:39:38.403936,,2.1,100.96,72.15,88.0,missing_temperature|duplicate_record
