asset_id,maintenance_type,maintenance_date,technician,cost,description,status
AST-0015,Preventive,2026-07-31 18:19:38.403936,TECH-003,4057.18,Routine IceStream equipment maintenance,completed
AST-0001,Corrective,2026-08-07 18:19:38.403936,TECH-016,4085.13,Routine IceStream equipment maintenance,completed
AST-0004,Emergency,2026-08-21 18:19:38.403936,TECH-004,2989.5,Routine IceStream equipment maintenance,scheduled
AST-0018,Emergency,2026-07-30 18:19:38.403936,TECH-004,4434.67,Routine IceStream equipment maintenance,scheduled
AST-0005,Inspection,2026-08-19 18:19:38.403936,TECH-020,4891.07,Routine IceStream equipment maintenance,completed
AST-0017,Inspection,2026-08-01 18:19:38.403936,TECH-019,3275.27,Routine IceStream equipment maintenance,scheduled
AST-0017,Inspection,2026-08-25 18:19:38.403936,TECH-012,4614.2,Routine IceStream equipment maintenance,completed
AST-0003,Corrective,2026-08-28 18:19:38.403936,TECH-015,1769.56,Routine IceStream equipment maintenance,scheduled
AST-0017,Corrective,2026-08-20 18:19:38.403936,TECH-004,210.91,Routine IceStream equipment maintenance,completed
AST-0018,Emergency,2026-08-14 18:19:38.403936,TECH-001,2411.2,Routine IceStream equipment maintenance,scheduled
AST-0020,Preventive,2026-08-20 18:19:38.403936,TECH-008,2392.95,Routine IceStream equipment maintenance,scheduled
AST-0004,Emergency,2026-07-29 18:19:38.403936,TECH-018,3482.27,Routine IceStream equipment maintenance,completed
AST-0020,Emergency,2026-08-24 18:19:38.403936,TECH-005,735.91,Routine IceStream equipment maintenance,completed
AST-0020,Emergency,2026-08-06 18:19:38.403936,TECH-016,2503.01,Routine IceStream equipment maintenance,completed
AST-0018,Corrective,2026-08-13 18:19:38.403936,TECH-011,4203.76,Routine IceStream equipment maintenance,completed
AST-0015,Emergency,2026-08-15 18:19:38.403936,TECH-004,4508.38,Routine IceStream equipment maintenance,completed
AST-0006,Inspection,2026-08-15 18:19:38.403936,TECH-001,3401.31,Routine IceStream equipment maintenance,scheduled
AST-0012,Emergency,2026-08-25 18:19:38.403936,TECH-017,254.24,Routine IceStream equipment maintenance,completed
AST-0009,Inspection,2026-08-04 18:19:38.403936,TECH-005,1145.11,Routine IceStream equipment maintenance,scheduled
AST-0006,Corrective,2026-08-24 18:19:38.403936,TECH-004,2014.45,Routine IceStream equipment maintenance,completed
AST-0013,Emergency,2026-08-15 18:19:38.403936,TECH-012,4249.89,Routine IceStream equipment maintenance,scheduled
AST-0013,Emergency,2026-07-29 18:19:38.403936,TECH-013,4024.15,Routine IceStream equipment maintenance,scheduled
AST-0003,Emergency,2026-08-17 18:19:38.403936,TECH-004,1304.95,Routine IceStream equipment maintenance,scheduled
AST-0005,Preventive,2026-08-08 18:19:38.403936,TECH-002,3705.42,Routine IceStream equipment maintenance,scheduled
AST-0010,Corrective,2026-08-10 18:19:38.403936,TECH-003,121.62,Routine IceStream equipment maintenance,completed
AST-0007,Corrective,2026-08-09 18:19:38.403936,TECH-002,4898.2,Routine IceStream equipment maintenance,scheduled
AST-0006,Inspection,2026-08-25 18:19:38.403936,TECH-007,3543.8,Routine IceStream equipment maintenance,completed
AST-0020,Corrective,2026-08-16 18:19:38.403936,TECH-005,1513.94,Routine IceStream equipment maintenance,scheduled
AST-0017,Preventive,2026-08-05 18:19:38.403936,TECH-001,150.07,Routine IceStream equipment maintenance,completed
AST-0014,Preventive,2026-08-24 18:19:38.403936,TECH-001,1650.32,Routine IceStream equipment maintenance,completed
AST-0002,Corrective,2026-08-01 18:19:38.403936,TECH-012,4566.8,Routine IceStream equipment maintenance,scheduled
AST-0016,Inspection,2026-08-22 18:19:38.403936,TECH-018,4946.89,Routine IceStream equipment maintenance,scheduled
AST-0013,Corrective,2026-08-05 18:19:38.403936,TECH-020,4326.26,Routine IceStream equipment maintenance,completed
