asset_id,recorded_at,temperature,vibration,pressure,humidity,fuel_level,date,hour,day_of_week,temperature_rolling_avg,vibration_rolling_avg,temperature_deviation,vibration_deviation,temperature_anomaly,vibration_anomaly,risk_score,risk_level,ml_anomaly,anomaly_score,anomaly_status
AST-0001,2026-07-30 05:58:38.403936,2.76,0.85,96.64,72.7,53.86,2026-07-30,5,3,2.76,0.85,0.0,0.0,False,False,0,LOW,False,0.015119363042968015,NORMAL
AST-0001,2026-07-30 06:32:38.403936,6.35,2.23,102.93,94.97,66.89,2026-07-30,6,3,4.555,1.54,1.795,0.69,False,True,1,MEDIUM,False,0.024300744974633304,NORMAL
AST-0001,2026-07-30 10:35:38.403936,6.36,3.09,100.13,54.42,55.21,2026-07-30,10,3,5.156666666666666,2.056666666666666,1.203333333333334,1.0333333333333332,False,True,1,MEDIUM,False,0.13940557478010324,NORMAL
AST-0001,2026-07-30 13:47:38.403936,5.48,1.28,105.54,52.75,83.45,2026-07-30,13,3,5.2375,1.8625,0.2425000000000006,-0.5825,False,True,1,MEDIUM,False,0.02920140781359759,NORMAL
AST-0001,2026-07-30 15:20:38.403936,3.48,2.73,103.46,80.89,19.5,2026-07-30,15,3,4.886,2.036,-1.406,0.694,False,True,1,MEDIUM,True,-0.002602943880769204,ANOMALOUS
AST-0001,2026-07-30 15:30:38.403936,4.76,3.42,98.87,69.68,43.93,2026-07-30,15,3,5.286,2.55,-0.5259999999999998,0.8700000000000001,False,True,1,MEDIUM,False,0.09937094339422542,NORMAL
AST-0001,2026-07-31 03:02:38.403936,-6.13,3.01,102.28,66.37,49.16,2026-07-31,3,4,2.79,2.706,-8.92,0.3039999999999998,True,False,1,MEDIUM,False,0.003120603038140324,NORMAL
AST-0001,2026-07-31 04:12:38.403936,4.59,2.51,101.25,66.98,62.4,2026-07-31,4,4,2.436,2.59,2.154,-0.08,False,False,0,LOW,False,0.17499067632301157,NORMAL
AST-0001,2026-07-31 05:20:38.403936,3.44,1.84,103.62,77.24,82.09,2026-07-31,5,4,2.028,2.702,1.4120000000000004,-0.8619999999999999,False,True,1,MEDIUM,False,0.10144253503974915,NORMAL
AST-0001,2026-07-31 08:24:38.403936,16.28,1.41,100.75,62.19,20.65,2026-07-31,8,4,4.587999999999999,2.438,11.692000000000002,-1.0279999999999998,True,True,2,HIGH,True,-0.07817131835557989,ANOMALOUS
AST-0001,2026-07-31 09:38:38.403936,4.7,2.57,102.06,69.44,71.09,2026-07-31,9,4,4.576,2.268,0.1240000000000005,0.302,False,False,0,LOW,False,0.17023209148080015,NORMAL
AST-0001,2026-07-31 10:35:38.403936,4.85,0.45,99.68,61.08,92.09,2026-07-31,10,4,6.772,1.7559999999999998,-1.9220000000000008,-1.3059999999999998,False,True,1,MEDIUM,False,0.0531628388448912,NORMAL
AST-0001,2026-08-01 01:34:38.403936,3.09,2.91,102.33,70.15,100.0,2026-08-01,1,5,6.472,1.836,-3.382,1.0740000000000005,False,True,1,MEDIUM,False,0.07321067880832416,NORMAL
AST-0001,2026-08-01 03:57:38.403936,0.07,1.99,100.05,55.22,67.2,2026-08-01,3,5,5.798,1.866,-5.728,0.1239999999999998,True,False,1,MEDIUM,False,0.0884014383846457,NORMAL
AST-0001,2026-08-01 04:25:38.403936,6.77,5.02,103.86,65.55,72.83,2026-08-01,4,5,3.896,2.588,2.874,2.4319999999999995,False,True,1,MEDIUM,False,0.05642207877352906,NORMAL
AST-0001,2026-08-01 06:18:38.403936,2.1,2.88,98.27,55.68,86.91,2026-08-01,6,5,3.375999999999999,2.65,-1.275999999999999,0.2299999999999999,False,False,0,LOW,False,0.07404506534506489,NORMAL
AST-0001,2026-08-01 10:39:38.403936,5.73,2.77,101.66,55.44,54.37,2026-08-01,10,5,3.552,3.114,2.178000000000001,-0.3439999999999998,False,False,0,LOW,False,0.1489075414363274,NORMAL
AST-0001,2026-08-01 10:55:38.403936,3.82,2.02,104.36,45.79,76.81,2026-08-01,10,5,3.697999999999999,2.936,0.1220000000000007,-0.916,False,True,1,MEDIUM,False,0.0705948384656882,NORMAL
AST-0001,2026-08-01 22:19:38.403936,5.67,2.06,99.66,64.97,61.94,2026-08-01,22,5,4.818,2.95,0.8520000000000003,-0.8900000000000001,False,True,1,MEDIUM,False,0.16146047693695142,NORMAL
