asset_id,total_records,anomalous_records,average_anomaly_score,anomaly_percentage
AST-0003,268,19,0.10332476455789097,7.08955223880597
AST-0001,242,17,0.10101611795120133,7.024793388429752
AST-0012,246,16,0.10589014440716428,6.504065040650407
AST-0004,254,16,0.09986339315551095,6.299212598425196
AST-0011,276,17,0.09947933220762187,6.159420289855073
AST-0015,244,15,0.10237095094937163,6.147540983606557
AST-0007,226,13,0.10723920822571613,5.752212389380531
AST-0009,235,13,0.10001320617647448,5.531914893617021
AST-0019,276,15,0.10259437242572167,5.434782608695652
AST-0005,297,16,0.10152173127404333,5.387205387205387
AST-0014,229,12,0.10305263567309587,5.240174672489083
AST-0008,237,12,0.10272542553232081,5.063291139240507
AST-0013,253,12,0.10303462836779934,4.743083003952568
AST-0006,259,10,0.10323399826620994,3.861003861003861
AST-0020,245,9,0.10540104587262528,3.6734693877551026
AST-0002,259,9,0.10588502394512257,3.474903474903475
AST-0017,237,8,0.09912604915150591,3.375527426160337
AST-0010,214,7,0.10214236567352517,3.2710280373831773
AST-0018,220,7,0.10433166547461135,3.1818181818181817
AST-0016,233,5,0.10603215215594587,2.1459227467811157
