asset_id,total_records,high_risk_records,medium_risk_records,avg_temperature,avg_vibration,high_risk_percentage
AST-0005,297,12,161,4.812626262626262,2.735353535353535,4.040404040404041
AST-0012,246,9,130,4.836626016260162,2.703252032520325,3.6585365853658534
AST-0004,254,9,140,4.939094488188976,2.801023622047244,3.543307086614173
AST-0013,253,8,125,4.768418972332016,2.5814229249011857,3.1620553359683794
AST-0019,276,8,132,4.55572463768116,2.6521014492753623,2.898550724637681
AST-0001,242,7,132,4.720578512396694,2.6569834710743803,2.8925619834710745
AST-0007,226,6,118,4.446637168141593,2.6934513274336283,2.6548672566371683
AST-0003,268,7,149,4.710298507462686,2.7825746268656717,2.6119402985074625
AST-0015,244,6,130,4.659795081967213,2.801188524590164,2.459016393442623
AST-0014,229,5,105,4.724803493449782,2.7120960698689958,2.1834061135371177
AST-0020,245,5,129,4.727755102040816,2.640612244897959,2.0408163265306123
AST-0002,259,5,139,4.701042471042471,2.607876447876448,1.9305019305019304
AST-0006,259,5,134,4.560888030888031,2.664749034749035,1.9305019305019304
AST-0016,233,4,106,4.493090128755365,2.639914163090129,1.7167381974248928
AST-0017,237,4,132,4.691181434599156,2.679831223628692,1.6877637130801686
AST-0010,214,3,115,4.611495327102804,2.56303738317757,1.4018691588785046
AST-0009,235,3,132,4.39336170212766,2.7241702127659573,1.276595744680851
AST-0018,220,2,111,4.605954545454545,2.6507727272727273,0.9090909090909091
AST-0008,237,2,109,4.787426160337552,2.4749789029535867,0.8438818565400843
AST-0011,276,2,159,4.852463768115942,2.5996739130434783,0.7246376811594203
