asset_id,avg_temperature,max_temperature,avg_vibration,max_vibration,avg_pressure,avg_humidity,avg_fuel_level,sensor_records,anomaly_count,average_anomaly_score,anomaly_rate,anomaly_component,vibration_component,temperature_component,avg_vibration_component,risk_score,risk_level,maintenance_recommendation
AST-0003,4.710298507462686,20.46,2.7825746268656717,10.57,101.44182835820895,64.50123134328359,63.95798507462687,268,19,0.10332476455789094,7.08955223880597,28.35820895522388,25.0,20.0,8.347723880597014,81.71,HIGH,Immediate inspection recommended
AST-0001,4.720578512396694,19.81,2.6569834710743803,9.59,101.05752066115701,64.91351239669422,65.10334710743801,242,17,0.1010161179512013,7.024793388429752,28.09917355371901,23.974999999999998,19.81,7.97095041322314,79.86,HIGH,Immediate inspection recommended
AST-0004,4.939094488188976,19.31,2.801023622047244,10.31,101.31043307086614,65.41822834645669,65.65129921259843,254,16,0.09986339315551092,6.299212598425196,25.196850393700785,25.0,19.31,8.403070866141732,77.91,HIGH,Immediate inspection recommended
AST-0012,4.836626016260162,18.41,2.703252032520325,10.42,101.18626016260163,64.33711382113822,64.60117886178861,246,16,0.10589014440716425,6.504065040650407,26.01626016260163,25.0,18.41,8.109756097560975,77.54,HIGH,Immediate inspection recommended
AST-0011,4.852463768115942,19.42,2.5996739130434783,9.67,101.12282608695652,65.86742753623189,64.43481884057971,276,17,0.09947933220762183,6.159420289855073,24.637681159420293,24.175,19.42,7.799021739130435,76.03,HIGH,Immediate inspection recommended
AST-0015,4.659795081967213,17.6,2.801188524590164,9.98,101.67446721311475,64.24897540983606,64.75090163934426,244,15,0.1023709509493716,6.147540983606557,24.59016393442623,24.95,17.6,8.403565573770493,75.54,HIGH,Immediate inspection recommended
AST-0009,4.39336170212766,17.73,2.7241702127659573,9.8,101.24072340425532,64.85544680851064,65.05323404255319,235,13,0.10001320617647445,5.531914893617021,22.127659574468083,24.500000000000004,17.73,8.172510638297872,72.53,HIGH,Immediate inspection recommended
AST-0007,4.446637168141593,17.94,2.6934513274336283,9.08,100.97933628318583,64.88610619469027,65.21053097345133,226,13,0.1072392082257161,5.752212389380531,23.008849557522126,22.7,17.94,8.080353982300885,71.73,HIGH,Immediate inspection recommended
AST-0008,4.787426160337552,19.51,2.4749789029535867,9.64,101.28118143459915,65.15725738396624,64.7675105485232,237,12,0.10272542553232078,5.063291139240507,20.253164556962027,24.1,19.51,7.42493670886076,71.29,HIGH,Immediate inspection recommended
AST-0014,4.724803493449782,17.2,2.7120960698689958,9.78,101.05598253275109,64.44109170305677,65.42318777292576,229,12,0.10305263567309585,5.240174672489083,20.96069868995633,24.45,17.2,8.136288209606986,70.75,HIGH,Immediate inspection recommended
AST-0019,4.55572463768116,19.05,2.6521014492753623,8.76,100.99554347826087,65.38891304347825,64.94394927536231,276,15,0.10259437242572164,5.434782608695652,21.73913043478261,21.9,19.05,7.956304347826087,70.65,HIGH,Immediate inspection recommended
AST-0005,4.812626262626262,18.29,2.735353535353535,8.91,101.32821548821549,64.53646464646465,65.9987542087542,297,16,0.1015217312740433,5.387205387205387,21.54882154882155,22.275,18.29,8.206060606060605,70.32,HIGH,Immediate inspection recommended
AST-0013,4.768418972332016,20.25,2.5814229249011857,8.6,101.34770750988143,64.24343873517786,64.72857707509881,253,12,0.1030346283677993,4.743083003952568,18.972332015810274,21.5,20.0,7.744268774703556,68.22,MEDIUM,Schedule preventive inspection
AST-0006,4.560888030888031,18.68,2.664749034749035,9.98,101.14405405405405,64.76177606177606,63.044942084942086,259,10,0.1032339982662099,3.861003861003861,15.444015444015445,24.95,18.68,7.994247104247105,67.07,MEDIUM,Schedule preventive inspection
AST-0017,4.691181434599156,17.2,2.679831223628692,9.72,101.54569620253166,64.6237552742616,64.90902953586497,237,8,0.09912604915150589,3.375527426160337,13.502109704641349,24.3,17.2,8.039493670886076,63.04,MEDIUM,Schedule preventive inspection
AST-0002,4.701042471042471,15.62,2.607876447876448,9.26,101.20027027027027,65.22347490347491,65.92393822393822,259,9,0.10588502394512253,3.474903474903475,13.8996138996139,23.15,15.619999999999997,7.823629343629345,60.49,MEDIUM,Schedule preventive inspection
AST-0016,4.493090128755365,18.16,2.639914163090129,10.67,101.21420600858369,65.0763948497854,66.95690987124463,233,5,0.10603215215594582,2.1459227467811157,8.583690987124463,25.0,18.16,7.919742489270387,59.66,MEDIUM,Schedule preventive inspection
AST-0010,4.611495327102804,17.79,2.56303738317757,8.35,101.27177570093458,64.63420560747663,66.20247663551402,214,7,0.10214236567352511,3.2710280373831773,13.084112149532709,20.875,17.79,7.6891121495327095,59.44,MEDIUM,Schedule preventive inspection
AST-0018,4.605954545454545,19.2,2.6507727272727273,7.73,101.48145454545454,65.4315,62.532000000000004,220,7,0.1043316654746113,3.1818181818181817,12.727272727272727,19.325,19.2,7.952318181818182,59.2,MEDIUM,Schedule preventive inspection
AST-0020,4.727755102040816,17.04,2.640612244897959,7.52,101.50277551020409,63.8305306122449,65.9665306122449,245,9,0.10540104587262525,3.6734693877551026,14.69387755102041,18.8,17.04,7.921836734693877,58.46,MEDIUM,Schedule preventive inspection
