,count,unique,top,freq,mean,std,min,25%,50%,75%,max
asset_id,4950,20,AST-0005,297,,,,,,,
recorded_at,4950,4679,2026-08-19 10:57:38.403936,4,,,,,,,
temperature,4950.0,,,,4.684541414141415,2.4938084051284313,-7.39,3.47,4.54,5.66,20.46
vibration,4950.0,,,,2.6696242424242422,1.182542570444506,0.07,2.0124999999999997,2.53,3.1,10.67
pressure,4950.0,,,,101.26802626262626,2.0031649647627403,94.03,99.87,101.28,102.6075,107.6
humidity,4950.0,,,,64.82373535353535,9.917429298275986,31.92,58.15,65.015,71.485,100.0
fuel_level,4950.0,,,,65.005898989899,17.40200202939698,5.0,53.152499999999996,65.19,77.3875,100.0
date,4950,31,2026-08-16,184,,,,,,,
hour,4950.0,,,,11.469090909090909,6.92570583224709,0.0,5.0,12.0,18.0,23.0
day_of_week,4950.0,,,,2.989292929292929,1.9685562437059727,0.0,1.0,3.0,5.0,6.0
temperature_rolling_avg,4950.0,,,,4.687269326599326,1.116203589924289,0.78,4.014,4.6,5.210000000000001,10.506
vibration_rolling_avg,4950.0,,,,2.668973973063973,0.5327824045129739,0.72,2.322,2.59,2.8935000000000004,6.066
temperature_deviation,4950.0,,,,-0.0027279124579124327,2.227826074547925,-10.338,-1.1620000000000006,-0.0280000000000002,0.9719999999999996,12.922
vibration_deviation,4950.0,,,,0.0006502693602693798,1.0552470091102968,-4.192000000000001,-0.6000000000000001,-0.0679999999999996,0.4740000000000002,6.344
temperature_anomaly,4950,2,False,4751,,,,,,,
vibration_anomaly,4950,2,True,2613,,,,,,,
risk_score,4950.0,,,,0.5680808080808081,0.5391439986669603,0.0,0.0,1.0,1.0,2.0
risk_level,4950,3,MEDIUM,2588,,,,,,,
